"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"306";"Bratislavskı";"Pezinok";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Vinohradnícka 70";"Limbach";"90091";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"61,2841";;;;
"307";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Komenského 1";"Modra";"90001";;;;;;;;;;;"51,7161";"72,017";;;"100";"93,0686";"74,0072";;;;;;;;;;;;;"5,60613";;;;
"308";"Bratislavskı";"Pezinok";"Samosprávny kraj";"SOŠ vinársko-ovocinárska";"Slovenskı";"Stredná odborná škola";"SOŠ vinársko-ovocinár.";"Kostolná 3";"Modra";"90001";"68,25";;;;"54,3902";;;"78,6364";;;;;;;;;;;;;;;;;;;;;;"97,4943";;;;
"309";"Bratislavskı";"Pezinok";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium K. Štúra";"Nám. slobody 5";"Modra";"90001";"35,1759";"44,6701";;;;"48,4694";;;"82,6087";;"38,3178";"72,3214";;;"86,3636";"54,5455";"86,3636";;;;;;;;;;;;;"44,2982";;;;
"310";"Bratislavskı";"Pezinok";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Súkromná SOŠ";"Sokolská 6";"Modra";"90001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"311";"Bratislavskı";"Pezinok";"Samosprávny kraj";"Stredná pedagogická škola";"Slovenskı";"Stredná odborná škola";"Pedagog.a kult.akadémia";"Sokolská 6";"Modra";"90001";"68,75";;;;"60,7317";"25,3886";;;;;;;;;;;;;;;;;;;;;;;;"2,05011";;;;
"312";"Bratislavskı";"Pezinok";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Štúrova 54";"Modra";"90001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"42,4779";;;;
"313";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vajanského 93";"Modra";"90001";;;;;;;;;;;"28,0811";"61,7898";;;;;;;;;;;;;;;;;;"21,1308";;;;
"314";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Fándlyho 11";"Pezinok";"90201";;;;;;;;;;;"85,7254";"75,9233";;;"87,2202";"75,8123";"91,4079";;;;;;;;;;;;;"8,43316";;;;
"315";"Bratislavskı";"Pezinok";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Slovenskı";"Špeciálna stredná škola";"SŠ - Praktická škola";"Komenského 25";"Pezinok";"90201";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"41,2698";;;;
"316";"Bratislavskı";"Pezinok";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"SŠ - Špeciálna ZŠ";"Komenského 25";"Pezinok";"90201";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"317";"Bratislavskı";"Pezinok";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stred. odborná škola";"Komenského 27";"Pezinok";"90201";;;;;;;;;;;;;;;"34,6535";"37,1287";;;;;;;;;;;;;;"89,2939";;;;
"318";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kupeckého 74";"Pezinok";"90201";;;;;;;;;;;"86,8955";"81,8182";;;"82,8881";"62,8881";"72,5632";;;;;;;;;;;;;"2,73119";;;;
"319";"Bratislavskı";"Pezinok";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Myslenická 1";"Pezinok";"90203";"77,5";;;;"55,8537";"90,1554";;;;;;;;;"73,7624";"75,2475";;;;;;;;;;;;;;"56,492";;;;
"321";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Na bielenisku 2";"Pezinok";"90201";;;;;;;;;;;"63,6505";"58,0256";;;;;;;;;;;;;;;;;;"13,2247";;;;
"322";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Orešie 3";"Pezinok";"90203";;;;;;;;;;;"23,7129";"19,6023";;;"30,4693";"86,3538";"15,3791";;;;;;;;;;;;;"27,4557";;;;
"323";"Bratislavskı";"Pezinok";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Senecká 2";"Pezinok";"90201";"62,3116";"94,9239";;;;"83,6735";;;;;"93,4579";"81,25";;;;;;;;;;;;;;;;;;"56,1404";;;;
"324";"Bratislavskı";"Pezinok";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Trnavská 1";"Pezinok";"90201";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"57,5221";;;;
"325";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 11";"Slovenskı Grob";"90026";;;;;;;;;;;"51,2481";"53,267";;;;;;;;;;;;;;;;;;"8,57691";;;;
"326";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kollárova 2";"Svätı Jur";"90021";;;;;;;;;;;"94,8518";"96,804";;;;;;;;;;;;;;;;;;"3,44993";;;;
"327";"Bratislavskı";"Pezinok";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Kollárova 2";"Svätı Jur";"90021";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"39,823";;;;
"328";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vinohradská 62";"Šenkvice";"90081";;;;;;;;;;;"67,4727";"67,8977";;;"55,4513";"100";"34,7292";;;;;;;;;;;;;"16,9621";;;;
"329";"Bratislavskı";"Pezinok";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 82";"Vinièné";"90023";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"78,5817";;;;
"330";"Bratislavskı";"Pezinok";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 49";"Vinosady";"90201";;;;;;;;;;;;;;;"6,35379";"58,9892";"35,3069";;;;;;;;;;;;;"56,6842";;;;
"331";"Bratislavskı";"Pezinok";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Vištuk 44";"Vištuk";"90085";;;;;;;;;;;"73,4789";"51,9176";;;"100";"52,491";"73,7906";;;;;;;;;;;;;"91,4231";;;;
"333";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Komenského 3";"Bernolákovo";"90027";;;;;;;;;;;"72,6989";"63,0682";;;;;;;;;;;;;;;;;;"7,28318";;;;
"334";"Bratislavskı";"Senec";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Komenského 3";"Bernolákovo";"90027";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"69,0266";;;;
"336";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Šarfická 301";"Blatné";"90082";;;;;;;;;;;"93,6817";"92,5426";;;"51,5523";"32,6354";"54,2238";;;;;;;;;;;;;"13,1768";;;;
"337";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Hlavná 113";"Èataj";"90083";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"85,817";;;;
"338";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 257";"Dunajská Luná";"90042";;;;;;;;;;;"64,1966";"82,3864";;;"100";"92,2022";"75,1625";;;;;;;;;;;;;"7,81025";;;;
"339";"Bratislavskı";"Senec";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Školská 257";"Dunajská Luná";"90042";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"61,9469";;;;
"340";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hamuliakovo 134";"Hamuliakovo";"90043";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"46,6699";;;;
"341";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 19";"Hrubı Šúr";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"29,2765";;;;
"342";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola s VJM";"Hlavná 19";"Hrubı Šúr";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"84,0441";;;;
"343";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Školská 4";"Chorvátsky Grob";"90025";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"19,1184";;;;
"344";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Igram 30";"Igram";"90084";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"24,1016";;;;
"345";"Bratislavskı";"Senec";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Štefánikova 27";"Ivanka pri Dunaji";"90028";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"28,0236";;;;
"346";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ul. SNP 3";"Ivanka pri Dunaji";"90028";;;;;;;;;;;"48,908";"40,1278";;;"55,5957";"17,0397";"53,6462";;;;;;;;;;;;;"0,862482";;;;
"347";"Bratislavskı";"Senec";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Spojená škola SOŠ";"ul. SNP 30";"Ivanka pri Dunaji";"90028";"29,75";;;;"31,7073";;;"18,1818";;;;;;;;;;;;;;;;;;;;;;"88,1549";;;;
"348";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Kalinkovo 194";"Kalinkovo";"90043";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"69,2861";;;;
"349";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 190";"Krá¾ová pri Senci";"90050";;;;;;;;;;;"38,0655";"54,9006";;;"27,0758";"76,8953";"46,2094";;;;;;;;;;;;;"1,62913";;;;
"350";"Bratislavskı";"Senec";"Samosprávny kraj";"SOŠ záhradnícka";"Slovenskı";"Stredná odborná škola";"SOŠ záhradnícka";"Bratislavská 44";"Malinovo";"90045";"15,5";;;;"22,6829";;;;;;;;;;;;;;;;;;;;;;;;;"67,8815";;;;
"351";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 11";"Malinovo";"90045";;;;;;;;;;;;;;;"92,9242";"80,7942";"70,4693";;;;;;;;;;;;;"11,9789";;;;
"353";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Albetin dvor 81";"Miloslavov";"90042";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1,29372";;;;
"354";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Športová 470";"Most pri Bratislave";"90046";;;;;;;;;;;"63,1045";"79,6165";;;;;;;;;;;;;;;;;;"8,48107";;;;
"355";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 45";"Nová Dedinka";"90029";;;;;;;;;;;"85,3354";"51,9176";;;"72,0578";"65,343";"51,3357";;;;;;;;;;;;;"19,7892";;;;
"356";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola s VJM";"Hlavná 181";"Reca";"92526";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"97,173";;;;
"357";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Hlavná 229";"Reca";"92526";;;;;;;;;;;;;;;"74,0794";"42,5993";"52,7798";;;;;;;;;;;;;"29,2765";;;;
"358";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Slovenskı";"Základná škola";"Základná škola";"Školská 266";"Rovinka";"90041";;;;;;;;;;;"73,4789";"57,4574";;;;;;;;;;;;;;;;;;"13,9435";;;;
"359";"Bratislavskı";"Senec";"Súkromník";"ZŠ pri špec.vıchovn.zariadení";"Slovenskı";"Špeciálna základná škola";"ZŠ pri súkr. LVS";"Dia¾nièná 1";"Senec";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"360";"Bratislavskı";"Senec";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Fándlyho 20";"Senec";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"52,5074";;;;
"361";"Bratislavskı";"Senec";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Kysucká 14";"Senec";"90301";"27";;;;"37,8049";;;;;;;;;;"25,7426";"65,3465";"51,145";;;;;;;;;;;;;"71,0706";;;;
"362";"Bratislavskı";"Senec";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium A. Bernoláka";"Lichnerova 69";"Senec";"90301";"94,9749";"55,8376";;;;"87,2449";;;;;"95,3271";"78,5714";;;;;;;;;;;;;;;;;;"6,14035";;;;
"363";"Bratislavskı";"Senec";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Spojená škola-Gym s VJM";"Lichnerova 71";"Senec";"90301";;"11,6751";"50";"60";;"86,7347";;;;;;;;;;;;;;;;;;;;;;;;"72,3684";;;;
"364";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mlynská 50";"Senec";"90301";;;;;;;;;;;"43,9158";"42,7557";;;;;;;;;;;;;;;;;;"5,65405";;;;
"365";"Bratislavskı";"Senec";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Nám. 1. mája 2";"Senec";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6,19469";;;;
"366";"Bratislavskı";"Senec";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Nám. A. Molnára 2";"Senec";"90301";;;;;;;;;;;;"43,4659";"61,194";"93,2836";;;;;;;;;;;;;;;;"46,8615";;;;
"367";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Tajovského 1";"Senec";"90301";;;;;;;;;;;"70,7488";"47,7983";;;"88,8087";"61,0108";"76,6787";;;;;;;;;;;;;"1,14998";;;;
"368";"Bratislavskı";"Senec";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Slovenskı";"Špeciálna stredná škola";"SŠ - praktická škola";"Trnavská 2";"Senec";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5,55556";;;;
"369";"Bratislavskı";"Senec";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"SŠ - špeciálna ZŠ";"Trnavská 2";"Senec";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"370";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 7";"Tomášov";"90044";;;;;;;;;;;"80,8112";"91,1932";;;"86,4982";"87,2202";"80,4332";;;;;;;;;;;;;"11,8352";;;;
"371";"Bratislavskı";"Senec";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Školská 7";"Tomášov";"90044";;;;;;;;;;;;"91,5483";"97,0149";"99,2537";;;;;;;;;;;;;;;;"84,2837";;;;
"372";"Bratislavskı";"Senec";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola";"Tureò 200";"Tureò";"90301";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"85,7691";;;;
"373";"Bratislavskı";"Senec";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Školská 4";"Ve¾kı Biel";"90024";;;;;;;;;;;"66,0686";"55,8949";;;;;;;;;;;;;;;;;;"11,0685";;;;
"375";"Trnavskı";"Dunajská Streda";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola s VJM";"Blatná na Ostrove 203";"Blatná na Ostrove";"93032";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"97,173";;;;
"376";"Trnavskı";"Dunajská Streda";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola s VJM";"Bohe¾ov 20";"Bohe¾ov";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"377";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"ZŠ pri špec.vıchovn.zariadení";"Slovenskı";"Špeciálna základná škola";"Základná škola pri LVS";"Èakany 7";"Èakany";"93040";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"378";"Trnavskı";"Dunajská Streda";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola s MŠ";"Èenkovce 95";"Èenkovce";"93039";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"73,5506";;;;
"379";"Trnavskı";"Dunajská Streda";"Obec";"Základná škola";"Maïarskı";"Základná škola";"ZŠ M.Kóczána s VJM";"Hlavná 258";"Èiliská Radvaò";"93008";;;;;;;;;;;;"25,2841";"82,0896";"47,7612";;;;;;;;;;;;;;;;"52,276";;;;
"382";"Trnavskı";"Dunajská Streda";"Obec";"ZŠ-roè.I. stupeò";"Maïarskı";"Základná škola";"Základná škola s VJM";"Hlavná 27";"Dolnı Bar";"93014";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93,8189";;;;
"383";"Trnavskı";"Dunajská Streda";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Hlavná 113";"Dolnı Štál";"93010";;;;;;;;;;;;"11,0085";"17,9104";"55,9701";;;;;;;;;;;;;;;;"80,1629";;;;
"384";"Trnavskı";"Dunajská Streda";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Hlavná 113";"Dolnı Štál";"93010";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"98,2301";;;;
"385";"Trnavskı";"Dunajská Streda";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Maïarskı";"Základná škola";"Reformovaná ZŠ s VJM";"Hlavná 85";"Dolnı Štál";"93010";;;;;;;;;;;;"16,9744";"79,8507";"40,2985";"19,2058";"7,79783";"9,53069";;;;;;;;;;;;;"86,7753";;;;
"386";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"SOŠ stavebná";"Maïarskı";"Stredná odborná škola";"SOŠ stavebná";"Gyulu Szabóa 1";"Dunajská Streda";"92901";;"99";"44,1176";"17,6471";"22,1951";;;"85,4545";;;;;;;;;;;;;;;;;;;;;;"81,549";;;;
"387";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"Praktická škola";"Maïarskı";"Špeciálna stredná škola";"PŠ s VJM ako súè. SŠ";"Gyulu Szabóa 1";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"41,2698";;;;
"388";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Maïarskı";"Špeciálna základná škola";"Spojená škola";"Gyulu Szabóa 1";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"389";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Maïarskı";"Špeciálna základná škola";"Spojená škola";"Gyulu Szabóa 1";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"390";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"Stredná odborná škola";"Maïarskı";"Stredná odborná škola";"Stredná odborná škola";"Gyulu Szabóa 21";"Dunajská Streda";"92901";;;"82,3529";"76,4706";"89,5122";"8,29016";;"70,9091";;;;;;;;;;;;;;;;;;;;;;"40,0911";;;;
"391";"Trnavskı";"Dunajská Streda";"Súkromník";"Gymnázium";"Maïarskı";"Gymnázium";"Súkr.gymnázium s VJM";"Hlavná 21";"Dunajská Streda";"92901";;"100";"100";"80";;"98,4694";;;;;;;;;;;;;;;;;;;;;;;;"57,0175";;;;
"392";"Trnavskı";"Dunajská Streda";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Hviezdoslavova ul. 2";"Dunajská Streda";"92901";;;;;;;;;;;;"74,5028";"94,7761";"92,5373";;;;;;;;;;;;;;;;"36,7034";;;;
"393";"Trnavskı";"Dunajská Streda";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jilemnického ulica 11";"Dunajská Streda";"92901";;;;;;;;;;;"39,3916";"57,4574";;;"10,1805";"62,8881";"18,6282";;;;;;;;;;;;;"8,81648";;;;
"394";"Trnavskı";"Dunajská Streda";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Komenského ulica 1";"Dunajská Streda";"92901";;;;;;;;;;;;"32,9545";"83,5821";"72,3881";"5,55957";"2,74368";"31,9856";;;;;;;;;;;;;"34,1639";;;;
"395";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"SOŠ technická";"Slovenskı - maïarskı ";"Stredná odborná škola";"SOŠ technická";"Kraèanská cesta 36";"Dunajská Streda";"92901";"94,5";"100";"79,4118";"58,8235";"46,3415";"13,9896";;"94,0909";;;;;;;"3,46535";"7,42574";"2,29008";;;;;;;;;;;;;"73,3485";;;;
"396";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Maïarskı";"Špeciálna základná škola";"Špeciálna ZŠ s VJM";"Nám. SNP 11";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"397";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"Športové gymnázium";"Maïarskı";"Športové gymnázium";"Športové gymnázium";"Nám. sv. Štefana 3";"Dunajská Streda";"92901";;"40";;;;"40";;;;;;;;;;;;;;;;;;;;;;;;"83,3333";;;;
"398";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"SOŠ po¾noh. a slu. na vidieku";"Maïarskı";"Stredná odborná škola";"SOŠ rozv.vidieka s VJM";"Nám. sv. Štefana 3";"Dunajská Streda";"92938";;;"97,0588";"79,4118";"91,2195";"47,1503";;"95";;;;;;;;;;;;;;;;;;;;;;"82,9157";;;;
"399";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Nám. sv. Štefana 3";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"400";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Nám. sv. Štefana 3";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"401";"Trnavskı";"Dunajská Streda";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špec. základná škola";"Nám. sv. Štefana 3";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"402";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium Á. Vámberyho";"Nám. sv. Štefana 4";"Dunajská Streda";"92936";;"5,07614";"65";"35";;"90,3061";;;"23,913";;;"6,25";"50";"50";;;;;;;;;;;;;;;;"50,4386";;;;
"403";"Trnavskı";"Dunajská Streda";"Súkromník";"Stredná odborná škola";"Maïarskı";"Stredná odborná škola";"Súkromná SOŠ s VJM";"Neratovické nám. 16";"Dunajská Streda";"92901";;;"50";"55,8824";"67,561";"81,8653";;"87,7273";;;;;;;;;;;;;;;;;;;;;;"38,4966";;;;
"404";"Trnavskı";"Dunajská Streda";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Smetanov háj 6";"Dunajská Streda";"92901";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"67,2566";;;;
"405";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium L.Dúbravu";"Smetanov háj 8";"Dunajská Streda";"92901";"31,1558";"93,401";;;;"95,9184";;;;;"9,34579";"20,5357";;;"1,51515";"0,757576";"6,81818";;;;;;;;;;;;;"71,9298";;;;
"406";"Trnavskı";"Dunajská Streda";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Smetanov háj 9";"Dunajská Streda";"92901";;;;;;;;;;;"26,9891";"26,3494";;;;;;;;;;;;;;;;;;"21,6579";;;;
"407";"Trnavskı";"Dunajská Streda";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Školská ulica 1";"Dunajská Streda";"92901";;;;;;;;;;;;"60,7955";"90,2985";"64,9254";;;;;;;;;;;;;;;;"17,7767";;;;
"408";"Trnavskı";"Dunajská Streda";"Samosprávny kraj";"Stredná zdravotnícka škola";"Slovenskı - maïarskı ";"Stredná odborná škola";"Str. zdravot. škola";"Športová 34";"Dunajská Streda";"92901";"96,5";;"100";"97,0588";"95,1219";;;"86,3636";;;;;;;;;;;;;;;;;;;;;;"88,8383";;;;
"409";"Trnavskı";"Dunajská Streda";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Maïarskı";"Základná škola";"Cirkevná ZŠ s VJM";"Trhovisko 1";"Dunajská Streda";"92901";;;;;;;;;;;;"11,0085";"32,0896";"14,9254";;;;;;;;;;;;;;;;"65,5007";;;;
"411";"Trnavskı";"Dunajská Streda";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Hlavná 4";"Gabèíkovo";"93005";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"64,8968";;;;
